iter	Passed	Remaining
0	1	127
1	2	116
2	3	110
3	4	102
4	5	102
5	6	101
6	7	100
7	8	99
8	9	99
9	10	98
10	12	97
11	13	96
12	14	94
13	15	93
14	16	92
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	85
21	23	85
22	25	84
23	26	84
24	27	83
25	28	82
26	30	81
27	31	80
28	32	80
29	34	79
30	35	79
31	37	78
32	38	77
33	39	77
34	41	76
35	42	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	71
41	50	69
42	52	69
43	53	68
44	55	68
45	57	67
46	58	66
47	60	65
48	61	64
49	63	63
50	64	62
51	66	61
52	67	60
53	69	58
54	70	57
55	71	56
56	72	55
57	74	53
58	75	52
59	76	51
60	78	50
61	79	48
62	81	47
63	82	46
64	84	45
65	85	43
66	86	42
67	88	41
68	89	40
69	90	38
70	91	37
71	93	36
72	94	35
73	95	33
74	97	32
75	98	31
76	99	29
77	101	28
78	102	27
79	104	26
80	105	24
81	106	23
82	108	22
83	109	20
84	111	19
85	112	18
86	113	17
87	115	15
88	116	14
89	118	13
90	119	11
91	120	10
92	122	9
93	124	7
94	126	6
95	127	5
96	129	4
97	131	2
98	133	1
99	134	0
