iter	Passed	Remaining
0	329	328988
1	332	166141
2	335	111520
3	338	84184
4	340	67768
5	342	56796
6	345	48995
7	349	43298
8	351	38706
9	353	35015
10	355	32006
11	358	29487
12	360	27391
13	364	25648
14	367	24118
15	370	22789
16	373	21601
17	377	20570
18	381	19717
19	384	18851
20	388	18090
21	392	17451
22	395	16802
23	397	16178
24	400	15600
25	402	15064
26	404	14569
27	408	14170
28	410	13752
29	413	13359
30	415	12997
31	417	12642
32	421	12339
33	424	12052
34	426	11772
35	429	11500
36	431	11232
37	434	10992
38	439	10838
39	442	10624
40	444	10403
41	446	10193
42	449	10005
43	452	9834
44	455	9656
45	457	9480
46	459	9323
47	462	9172
48	465	9036
49	469	8917
50	471	8779
51	474	8645
52	476	8513
53	480	8412
54	485	8348
55	492	8306
56	499	8260
57	501	8152
58	505	8056
59	507	7954
60	510	7864
61	515	7791
62	518	7710
63	521	7624
64	524	7539
65	528	7480
66	531	7395
67	533	7312
68	536	7233
69	538	7150
70	541	7081
71	543	7005
72	546	6933
73	548	6861
74	550	6791
75	552	6722
76	558	6696
77	561	6632
78	563	6565
79	565	6498
80	567	6434
81	569	6370
82	570	6301
83	573	6251
84	575	6192
85	577	6133
86	579	6077
87	581	6023
88	583	5970
89	586	5929
90	588	5879
91	590	5829
92	592	5781
93	594	5733
94	596	5685
95	599	5642
96	601	5602
97	604	5559
98	606	5517
99	608	5476
100	610	5434
101	612	5393
102	616	5369
103	618	5330
104	620	5292
105	622	5253
106	625	5216
107	627	5181
108	630	5157
109	633	5122
110	635	5088
111	637	5054
112	639	5020
113	641	4985
114	643	4955
115	646	4927
116	648	4895
117	650	4864
118	652	4832
119	654	4801
120	656	4771
121	659	4746
122	662	4720
123	664	4693
124	666	4665
125	668	4638
126	670	4607
127	672	4583
128	675	4561
129	677	4535
130	679	4508
131	681	4483
132	683	4457
133	685	4432
134	688	4412
135	691	4395
136	694	4372
137	696	4350
138	698	4328
139	700	4305
140	703	4288
141	706	4266
